variant_name,canonical_name,reason,approved
American H-Fi,American Hi-Fi,typo,yes
Ezra Furman & the Harpoons,Ezra Furman and the Harpoons,ampersand variant of same band,yes
Fitz & the Tantrums,Fitz and the Tantrums,ampersand variant of same band,yes
Five For Fightning,Five For Fighting,typo,yes
Margot & the Nuclear So & So’s,Margot & the Nuclear So and So's,punctuation variant of same band,yes
Nahko & Medicine for the People,Nahko and Medicine for the People,ampersand variant of same band,yes
The Head & The Heart,The Head and the Heart,ampersand variant of same band,yes
Toad the Wet Sprockett,Toad the Wet Sprocket,typo,yes
Tom Petty & the Heartbrakers,Tom Petty and the Heartbreakers,typo and ampersand variant,yes
Tom Petty & the Heartbreakers,Tom Petty and the Heartbreakers,ampersand variant of same band,yes
