artist_id,display_name,appearances,first_seen,latest_seen,cities,venues
174,Counting Crows,43,1997-03-10,2026-08-07,25,37
510,Motion City Soundtrack,22,2006-02-16,2026-07-19,11,19
377,Jimmy Eat World,21,2002-08-04,2026-08-20,12,17
871,Third Eye Blind,20,1998-08-15,2026-08-23,12,17
169,Cold War Kids,18,2009-04-17,2026-07-25,10,16
107,Blind Pilot,15,2004-10-11,2026-07-24,8,12
429,Live,15,1995-08-31,2025-07-08,9,12
47,Andrew McMahon in the Wilderness,14,2014-10-17,2026-08-14,7,11
898,Twiddle,14,2018-02-03,2023-11-11,10,11
462,Manchester Orchestra,13,2009-08-07,2023-08-16,8,12
564,Our Lady Peace,13,1997-11-03,2026-06-24,5,10
358,Jack's Mannequin,12,2007-03-06,2026-08-14,6,9
730,Spoon,12,2007-10-12,2021-09-03,7,11
769,The Airborne Toxic Event,12,2009-08-09,2026-09-20,6,7
198,Death Cab for Cutie,11,2008-06-03,2023-10-06,5,11
249,Eve 6,11,1998-05-23,2016-09-08,6,10
583,Penny and the Loafers,11,2000-04-29,2014-06-28,1,3
171,Collective Soul,10,1997-05-30,2025-07-08,7,10
202,Delta Spirit,10,2009-08-08,2022-05-11,4,6
433,Local Natives,10,2011-08-05,2023-09-26,9,10
104,Bleachers,9,2021-10-11,2026-09-19,8,9
277,Foster the People,9,2011-08-05,2026-09-16,4,8
304,Goo Goo Dolls,9,1995-12-08,2006-08-26,7,8
861,The Wallflowers,9,1997-07-05,2022-09-27,5,9
67,Augustana,8,2007-01-25,2025-06-21,5,6
139,Butch Walker,8,2003-02-21,2012-12-31,1,5
216,Dovetail Joint,8,1998-09-25,2001-12-09,3,5
250,Everclear,8,1996-07-05,2025-09-14,5,7
452,Lucky Boy's Confusion,8,1999-06-24,2022-09-16,1,4
498,Milky Chance,8,2017-06-10,2023-08-11,7,8
33,Alkaline Trio,7,2009-04-20,2026-10-20,4,6
142,Cage the Elephant,7,2009-08-09,2024-06-22,4,5
652,Roger Clyne & the Peacemakers,7,2001-09-01,2016-04-19,4,6
768,The Academy is…,7,2006-03-25,2026-05-02,5,5
45,Andrew McMahon,6,2009-10-07,2023-07-29,5,6
53,Arcade Fire,6,2010-08-08,2018-09-21,3,4
82,Beck,6,1997-05-25,2022-07-28,6,6
259,Fastball,6,1998-05-23,2003-02-21,3,5
319,Grouplove,6,2012-07-14,2024-02-28,5,6
620,Ra Ra Riot,6,2009-08-09,2019-08-01,5,6
655,Royal Bangs,6,2008-08-09,2012-05-10,2,6
699,Sister Hazel,6,1997-07-08,2007-12-28,1,2
706,Smashing Pumpkins,6,1996-08-23,2026-11-06,4,6
92,Better Than Ezra,5,1998-10-17,2009-12-12,1,3
109,Blink 182,5,2011-08-20,2023-10-21,5,5
179,Creed,5,1998-05-23,2002-08-09,3,4
310,Graham Colton,5,2002-10-15,2009-11-20,2,5
554,OK Go,5,2006-02-16,2011-08-05,2,4
580,Paul Simon,5,2011-05-16,2019-08-11,4,5
600,Plain White T's,5,2000-06-08,2006-02-16,2,2
634,Remy Zero,5,1999-02-12,2002-05-30,1,4
654,Rogue Wave,5,2008-06-03,2016-08-06,3,5
723,Spacehog,5,1996-03-22,2025-06-18,3,5
810,The Gaslight Anthem,5,2009-08-07,2014-05-09,3,5
868,These United States,5,2010-06-28,2012-04-13,1,4
890,Train,5,1999-09-22,2002-08-11,2,4
282,Frightened Rabbit,4,2009-07-19,2011-08-25,1,4
296,Gigolo Aunts,4,1999-04-22,1999-11-26,3,4
312,Green Day,4,2001-01-23,2023-10-21,3,4
337,Holiday from Real Cruise ‘24,4,2024-11-09,2024-11-12,1,1
381,John Mellencamp,4,1999-07-02,2023-03-15,4,4
387,Judah & the Lion,4,2019-08-11,2026-10-05,3,3
419,Lettuce,4,2013-12-14,2018-02-16,3,3
432,Local H,4,1996-12-12,2025-09-14,4,4
439,Lollapalooza ‘17,4,2017-08-03,2017-08-06,1,1
472,Marvelous 3,4,1999-05-05,2000-10-21,3,3
586,Pete Yorn,4,2002-04-18,2026-12-05,4,4
629,Red Hot Chili Peppers,4,2000-08-02,2022-07-28,4,4
741,Stone Temple Pilots,4,1996-12-12,2010-08-20,3,3
882,Tom Petty & the Heartbrakers,4,1999-10-07,2017-08-28,3,3
885,Tonic,4,1996-11-21,2000-03-18,1,3
902,Typhoon,4,2014-08-07,2024-03-23,3,4
951,Wild Sweet Orange,4,2008-04-10,2008-10-05,2,4
969,Young the Giant,4,2011-08-05,2026-07-25,3,4
331,hellogoodbye,4,2006-03-25,2015-02-13,3,4
17,Acceptance,3,2006-03-25,2025-08-22,3,3
22,After Five Live,3,2000-03-23,2001-09-24,1,1
83,Beer Bash,3,2013-07-26,2014-08-14,1,1
84,Ben Folds,3,2008-10-11,2022-06-13,3,3
101,Black Lab,3,1998-03-12,1998-08-15,3,3
137,Bunbury Music Festival ’12,3,2012-07-13,2012-07-15,1,1
138,Bush,3,1997-04-24,1999-12-03,3,3
231,Eddie Vedder,3,2008-08-21,2011-06-28,2,3
287,Garbage,3,1998-12-18,2017-09-16,3,3
297,Gin Blossoms,3,1996-09-06,2017-11-13,3,3
341,Hot Mulligan,3,2023-03-07,2025-11-23,2,2
369,Jeff Beck,3,1999-09-10,2010-06-26,2,2
378,Joe 90,3,1999-11-24,2000-01-20,2,2
395,Kaaboo ‘17,3,2017-09-15,2017-09-17,1,1
423,Lifehouse,3,2001-03-02,2001-12-09,3,3
438,Lollapalooza '09,3,2009-08-07,2009-08-09,1,1
440,Lollapalooza ’10,3,2010-08-06,2010-08-08,1,1
441,Lollapalooza ’11,3,2011-08-05,2011-08-07,1,1
445,Lord Huron,3,2004-10-11,2016-08-06,3,3
500,Mimicking Birds,3,2009-11-25,2014-08-23,2,3
566,Outside Lands 2014,3,2014-08-08,2014-08-10,1,1
567,Outside Lands 2016,3,2016-08-05,2016-08-07,1,1
569,Outside Lands 2018,3,2018-08-10,2018-08-12,1,1
570,Outside Lands 2019,3,2019-08-09,2019-08-20,1,1
581,Pearl Jam,3,2009-08-23,2013-11-23,3,3
593,Phoenix,3,2010-08-07,2017-06-10,3,3
624,Railroad Earth,3,2014-03-15,2017-01-28,2,2
642,Riot Fest ‘22,3,2022-09-16,2022-09-18,1,1
665,Santigold,3,2008-07-22,2019-08-20,2,3
669,Saves the Day,3,2006-07-30,2010-10-30,2,3
685,Shaky Knees 2014,3,2014-05-09,2014-05-11,1,1
