event_id,event_date,event_title,venue_id,city_id,facebook_recorded,is_upcoming,source_row,date_recorded,venue_recorded,city_recorded,state_recorded
1,1995-08-31,Live,134,47,True,False,2,"Thursday, August 31, 1995",New World Music Theatre,Tinley Park,Illinois
2,1995-12-08,Q101's Twisted Christmas 2,131,45,False,False,3,"Friday, December 8, 1995",Rosemont Horizon,Rosemont,Illinois
3,1996-03-22,Spacehog,99,39,True,False,4,"Friday, March 22, 1996",Metro,Chicago,Illinois
4,1996-07-05,Everclear,72,39,False,False,5,"Friday, July 5, 1996",Aragon Ballroom,Chicago,Illinois
5,1996-08-23,Smashing Pumpkins,99,39,False,False,6,"Friday, August 23, 1996",Metro,Chicago,Illinois
6,1996-09-06,Neil Yong with Crazy Horse,134,47,True,False,7,"Friday, September 6, 1996",New World Music Theatre,Tinley Park,Illinois
7,1996-10-10,Kick-Off Concert,137,49,True,False,8,"Thursday, October 10, 1996",Odeum,Villa Park,Illinois
8,1996-11-21,Dishwalla,99,39,False,False,9,"Thursday, November 21, 1996",Metro,Chicago,Illinois
9,1996-12-12,Stone Temple Pilots,131,45,False,False,10,"Thursday, December 12, 1996",Rosemont Horizon,Rosemont,Illinois
10,1997-03-01,Live,105,39,False,False,11,"Saturday, March 1, 1997",Riviera,Chicago,Illinois
11,1997-03-10,Counting Crows,72,39,True,False,12,"Monday, March 10, 1997",Aragon Ballroom,Chicago,Illinois
12,1997-04-24,Bush,131,45,False,False,13,"Thursday, April 24, 1997",Rosemont Horizon,Rosemont,Illinois
13,1997-05-25,Q101's Jamboree '97,134,47,False,False,14,"Sunday, May 25, 1997",New World Music Theatre,Tinley Park,Illinois
14,1997-05-30,Collective Soul,105,39,False,False,15,"Friday, May 30, 1997",Riviera,Chicago,Illinois
15,1997-06-29,U2,111,39,True,False,16,"Sunday, June 29, 1997",Soldier Field,Chicago,Illinois
16,1997-07-05,Counting Crows,134,47,False,False,17,"Saturday, July 5, 1997",New World Music Theatre,Tinley Park,Illinois
17,1997-07-08,Sister Hazel,87,39,True,False,18,"Tuesday, July 8, 1997",House of Blues,Chicago,Illinois
18,1997-08-14,Verve Pipe,121,39,False,False,19,"Thursday, August 14, 1997",Vic,Chicago,Illinois
19,1997-08-22,Live,134,47,False,False,20,"Friday, August 22, 1997",New World Music Theatre,Tinley Park,Illinois
20,1997-08-29,Rage Against the Machine,134,47,True,False,21,"Friday, August 29, 1997",New World Music Theatre,Tinley Park,Illinois
21,1997-08-30,Aerosmith,134,47,False,False,22,"Saturday, August 30, 1997",New World Music Theatre,Tinley Park,Illinois
22,1997-10-26,Refreshments,99,39,False,False,23,"Sunday, October 26, 1997",Metro,Chicago,Illinois
23,1997-11-03,Everclear,217,94,False,False,24,"Monday, November 3, 1997",Modjeska,Milwaukee,Wisconsin
24,1998-03-12,Our Lady Peace,99,39,True,False,25,"Thursday, March 12, 1998",Metro,Chicago,Illinois
25,1998-03-14,Our Lady Peace,217,94,False,False,26,"Saturday, March 14, 1998",Modjeska,Milwaukee,Wisconsin
26,1998-05-23,Q101's Jamboree '98,134,47,False,False,27,"Saturday, May 23, 1998",New World Music Theatre,Tinley Park,Illinois
