venue_id,shows,first_visit,latest_visit,venue_name_recorded,city_id,city,state_region,canonical_venue_name,latitude,longitude,geocode_status
1,1,2015-05-03,2015-05-03,Southern Alberta Jubilee Auditorium,1,Calgary,Alberta (Canada),Southern Alberta Jubilee Auditorium,,,unresolved
2,1,2015-05-04,2015-05-04,Northern Alberta Jubilee Auditorium,2,Edmonton,Alberta (Canada),Northern Alberta Jubilee Auditorium,,,unresolved
3,1,2022-10-28,2022-10-28,Arizona Financial Theatre,3,Phoenix,Arizona,Arizona Financial Theatre,,,unresolved
4,1,2021-10-11,2021-10-11,The Van Buren,3,Phoenix,Arizona,The Van Buren,,,unresolved
5,4,2024-11-09,2024-11-12,Norwegian Gem Cruise Ship,4,,Atlantic Ocean,Norwegian Gem Cruise Ship,,,unresolved
6,4,2014-08-15,2018-09-21,Greek Theatre,5,Berkeley,California,Greek Theatre,,,unresolved
7,1,2020-01-25,2020-01-25,The UC Theatre,5,Berkeley,California,The UC Theatre,,,unresolved
8,1,2019-12-20,2019-12-20,The Cave Big Bear,6,Big Bear Lake,California,The Cave Big Bear,,,unresolved
9,1,2021-07-27,2021-07-27,Gnarlywood,7,Carlsbad,California,Gnarlywood,,,unresolved
10,1,2019-08-01,2019-08-01,North Island Credit Union Amphitheatre,8,Chula Vista,California,North Island Credit Union Amphitheatre,,,unresolved
11,1,2013-08-23,2013-08-23,Pacific Amphitheater,9,Costa Mesa,California,Pacific Amphitheater,,,unresolved
12,4,2013-07-26,2016-05-20,Infinite Loop,10,Cupertino,California,Infinite Loop,,,unresolved
13,1,2019-06-12,2019-06-12,Steve Jobs Theater,10,Cupertino,California,Steve Jobs Theater,,,unresolved
14,1,2019-06-23,2019-06-23,Cow Palace,11,Daly City,California,Cow Palace,,,unresolved
15,3,2017-09-15,2017-09-17,Del Mar Fairgrounds,12,Del Mar,California,Del Mar Fairgrounds,,,unresolved
16,1,2019-06-22,2019-06-22,Hollywood Palladium,13,Hollywood,California,Hollywood Palladium,,,unresolved
17,1,2023-07-29,2023-07-29,Five Points Amphitheatre,14,Irvine,California,Five Points Amphitheatre,,,unresolved
18,1,2019-11-11,2019-11-11,El Rey Theatre,15,Los Angeles,California,El Rey Theatre,,,unresolved
19,2,2013-06-08,2013-06-09,Fonda Theatre,15,Los Angeles,California,Fonda Theatre,,,unresolved
20,1,2026-08-07,2026-08-07,Hollywood Bowl,15,Los Angeles,California,Hollywood Bowl,,,unresolved
21,1,2013-11-23,2013-11-23,Sports Arena,15,Los Angeles,California,Sports Arena,,,unresolved
22,1,2004-10-11,2004-10-11,The Theatre at Ace Hotel,15,Los Angeles,California,The Theatre at Ace Hotel,,,unresolved
23,1,2021-11-17,2021-11-17,Wiltern Theater,15,Los Angeles,California,Wiltern Theater,,,unresolved
24,1,2014-08-23,2014-08-23,Monterey County Fairgrounds,16,Monterey,California,Monterey County Fairgrounds,,,unresolved
25,4,2014-07-31,2018-07-25,Shoreline Amphitheater,17,Mountain View,California,Shoreline Amphitheater,,,unresolved
26,14,2014-03-29,2026-04-29,Fox Theater,18,Oakland,California,Fox Theater,,,unresolved
27,4,2013-12-07,2018-08-27,Oracle Arena,18,Oakland,California,Oracle Arena,,,unresolved
28,1,2026-03-28,2026-03-28,Hotel Zoso Woodstock Ballroom,19,Palm Springs,California,Hotel Zoso Woodstock Ballroom,,,unresolved
29,3,2026-03-26,2026-03-28,Plaza Theatre,19,Palm Springs,California,Plaza Theatre,,,unresolved
30,1,2016-08-15,2016-08-15,Lagunitas,20,Peteluma,California,Lagunitas,,,unresolved
31,2,2017-04-22,2021-09-27,Ace of Spades,21,Sacramento,California,Ace of Spades,,,unresolved
32,1,2013-07-18,2013-07-18,Americas Cup Pavilion,22,San Francisco,California,Americas Cup Pavilion,,,unresolved
33,2,2019-06-15,2019-06-27,Bill Graham Civic Auditorium,22,San Francisco,California,Bill Graham Civic Auditorium,,,unresolved
34,1,2018-12-05,2018-12-05,Bottom of the Hill,22,San Francisco,California,Bottom of the Hill,,,unresolved
35,2,2013-10-17,2014-08-07,California Academy of Sciences,22,San Francisco,California,California Academy of Sciences,,,unresolved
36,2,2018-05-23,2024-01-31,Fillmore,22,San Francisco,California,Fillmore,,,unresolved
37,15,2014-06-07,2019-08-20,Golden Gate Park,22,San Francisco,California,Golden Gate Park,,,unresolved
38,1,2017-11-13,2017-11-13,Great American Music Hall,22,San Francisco,California,Great American Music Hall,,,unresolved
39,1,2025-12-09,2025-12-09,Palace of Fine Arts,22,San Francisco,California,Palace of Fine Arts,,,unresolved
40,2,2016-01-20,2016-05-09,Regency Ballroom,22,San Francisco,California,Regency Ballroom,,,unresolved
41,1,2014-10-17,2014-10-17,Slim’s,22,San Francisco,California,Slim’s,,,unresolved
42,10,2013-12-14,2020-03-07,The Fillmore,22,San Francisco,California,The Fillmore,,,unresolved
43,2,2013-09-14,2019-12-18,The Independent,22,San Francisco,California,The Independent,,,unresolved
44,2,2015-10-10,2019-11-22,The Warfield,22,San Francisco,California,The Warfield,,,unresolved
45,2,2018-09-28,2018-09-29,Avaya Stadium,23,San Jose,California,Avaya Stadium,,,unresolved
46,1,2017-11-14,2017-11-14,Civic National City,23,San Jose,California,Civic National City,,,unresolved
47,2,2014-03-25,2018-12-12,SAP Centre,23,San Jose,California,SAP Centre,,,unresolved
48,1,2016-09-08,2016-09-08,The Ritz,23,San Jose,California,The Ritz,,,unresolved
49,2,2018-06-14,2018-06-16,Terrapin Station,24,San Rafael,California,Terrapin Station,,,unresolved
50,3,2015-06-26,2022-07-28,Levi's Stadium,25,Santa Clara,California,Levi's Stadium,,,unresolved
51,1,2018-10-18,2018-10-18,Catalyst,26,Santa Cruz,California,Catalyst,,,unresolved
52,1,2016-04-19,2016-04-19,Moe's Alley,26,Santa Cruz,California,Moe's Alley,,,unresolved
53,1,2013-05-19,2013-05-19,Rio Theatre,26,Santa Cruz,California,Rio Theatre,,,unresolved
54,5,2013-04-23,2019-03-08,The Catalyst,26,Santa Cruz,California,The Catalyst,,,unresolved
55,1,2017-08-16,2017-08-16,Mountain Winery,27,Saratoga,California,Mountain Winery,,,unresolved
56,1,2017-11-18,2017-11-18,Green Music Center (Sonoma State University),28,Sonoma,California,Green Music Center (Sonoma State University),,,unresolved
57,1,2025-01-27,2025-01-27,The Venice West,29,Venice,California,The Venice West,,,unresolved
58,1,2022-11-30,2022-11-30,Commodore Ballroom,30,Vancouver,Canada,Commodore Ballroom,,,unresolved
59,1,2026-07-19,2026-07-19,Doug Mitchell Thunderbird Sports Center,30,Vancouver,Canada,Doug Mitchell Thunderbird Sports Center,,,unresolved
60,1,2023-11-11,2023-11-11,Mission Ballroom,31,Denver,Colorado,Mission Ballroom,,,unresolved
61,6,2009-07-29,2022-06-20,Red Rocks Amphitheatre,32,Morrison,Colorado,Red Rocks Amphitheatre,,,unresolved
62,1,2026-05-22,2026-05-22,O2 Academy Islington,33,London,England,O2 Academy Islington,,,unresolved
63,2,2021-12-04,2021-12-06,Fort Lauderdale Beach,34,Fort Lauderdale,Florida,Fort Lauderdale Beach,,,unresolved
64,3,2014-05-09,2014-05-11,Atlantic Station,35,Atlanta,Georgia,Atlantic Station,,,unresolved
65,1,2014-05-10,2014-05-10,CenterStage,35,Atlanta,Georgia,CenterStage,,,unresolved
66,1,2009-08-12,2009-08-12,Chastain Park Amphitheatre,35,Atlanta,Georgia,Chastain Park Amphitheatre,,,unresolved
67,1,2026-08-23,2026-08-23,RiverEdge,36,Aurora,Illinois,RiverEdge,,,unresolved
68,2,2007-07-28,2010-06-26,Toyota Park,37,Bridgeview,Illinois,Toyota Park,,,unresolved
69,1,2012-07-29,2012-07-29,Brookfield Zoo,38,Brookfield,Illinois,Brookfield Zoo,,,unresolved
70,1,2002-07-27,2002-07-27,A Finkl & Sons,39,Chicago,Illinois,A Finkl & Sons,,,unresolved
71,3,2003-02-21,2004-08-07,Abbey Pub,39,Chicago,Illinois,Abbey Pub,,,unresolved
72,15,1996-07-05,2021-10-28,Aragon Ballroom,39,Chicago,Illinois,Aragon Ballroom,,,unresolved
73,1,2008-08-21,2008-08-21,Auditorium Theatre,39,Chicago,Illinois,Auditorium Theatre,,,unresolved
74,1,2008-11-01,2008-11-01,Beat Kitchen,39,Chicago,Illinois,Beat Kitchen,,,unresolved
75,4,2009-07-19,2017-08-04,Bottom Lounge,39,Chicago,Illinois,Bottom Lounge,,,unresolved
76,4,2006-09-15,2010-08-20,Charter One Pavilion at Northerly Island,39,Chicago,Illinois,Charter One Pavilion at Northerly Island,,,unresolved
77,5,2008-10-08,2011-10-28,Chicago Theatre,39,Chicago,Illinois,Chicago Theatre,,,unresolved
78,1,2019-02-08,2019-02-08,Concord,39,Chicago,Illinois,Concord,,,unresolved
79,3,2001-11-08,2008-05-23,Congress Theatre,39,Chicago,Illinois,Congress Theatre,,,unresolved
80,3,2009-12-17,2012-04-06,Cubby Bear,39,Chicago,Illinois,Cubby Bear,,,unresolved
81,1,2011-06-05,2011-06-05,Division Avenue & Damen,39,Chicago,Illinois,Division Avenue & Damen,,,unresolved
82,11,2001-11-13,2012-12-30,Double Door,39,Chicago,Illinois,Double Door,,,unresolved
83,2,2016-09-16,2016-09-17,Douglas Park,39,Chicago,Illinois,Douglas Park,,,unresolved
84,2,2009-10-08,2010-09-12,Elbo Room,39,Chicago,Illinois,Elbo Room,,,unresolved
85,4,2009-10-30,2012-08-04,Empty Bottle,39,Chicago,Illinois,Empty Bottle,,,unresolved
86,14,2004-07-04,2017-08-06,Grant Park,39,Chicago,Illinois,Grant Park,,,unresolved
87,47,1997-07-08,2022-11-11,House of Blues,39,Chicago,Illinois,House of Blues,,,unresolved
88,3,2000-03-23,2001-09-24,House of Blues Second Stage,39,Chicago,Illinois,House of Blues Second Stage,,,unresolved
89,5,2012-09-15,2022-09-18,Humboldt Park,39,Chicago,Illinois,Humboldt Park,,,unresolved
90,2,2026-08-14,2026-08-20,Huntington Bank Pavilion,39,Chicago,Illinois,Huntington Bank Pavilion,,,unresolved
91,1,2008-06-03,2008-06-03,Jay Pritzker Pavilion at Millenium Park,39,Chicago,Illinois,Jay Pritzker Pavilion at Millenium Park,,,unresolved
92,1,2007-05-04,2007-05-04,Joe's,39,Chicago,Illinois,Joe's,,,unresolved
93,1,2008-04-18,2008-04-18,Kathy's House (neighborhood),39,Chicago,Illinois,Kathy's House (neighborhood),,,unresolved
94,1,2009-10-07,2009-10-07,Lakeshore Theatre,39,Chicago,Illinois,Lakeshore Theatre,,,unresolved
95,17,2009-10-26,2012-10-23,Lincoln Hall,39,Chicago,Illinois,Lincoln Hall,,,unresolved
96,3,2000-07-02,2006-07-28,Lincoln Park Zoo,39,Chicago,Illinois,Lincoln Park Zoo,,,unresolved
97,2,2007-04-17,2008-04-09,Loyola Gentile Center,39,Chicago,Illinois,Loyola Gentile Center,,,unresolved
98,1,2009-07-10,2009-07-10,Madison Street & Des Plaines Street,39,Chicago,Illinois,Madison Street & Des Plaines Street,,,unresolved
99,49,1996-03-22,2022-09-17,Metro,39,Chicago,Illinois,Metro,,,unresolved
100,1,2012-07-07,2012-07-07,Navy Pier,39,Chicago,Illinois,Navy Pier,,,unresolved
101,1,2015-09-12,2015-09-12,Northerly Island,39,Chicago,Illinois,Northerly Island,,,unresolved
