venue_id,venue_name_recorded,city_id,city,state_region,canonical_venue_name,latitude,longitude,geocode_status
1,Southern Alberta Jubilee Auditorium,1,Calgary,Alberta (Canada),Southern Alberta Jubilee Auditorium,,,unresolved
2,Northern Alberta Jubilee Auditorium,2,Edmonton,Alberta (Canada),Northern Alberta Jubilee Auditorium,,,unresolved
3,Arizona Financial Theatre,3,Phoenix,Arizona,Arizona Financial Theatre,,,unresolved
4,The Van Buren,3,Phoenix,Arizona,The Van Buren,,,unresolved
5,Norwegian Gem Cruise Ship,4,,Atlantic Ocean,Norwegian Gem Cruise Ship,,,unresolved
6,Greek Theatre,5,Berkeley,California,Greek Theatre,,,unresolved
7,The UC Theatre,5,Berkeley,California,The UC Theatre,,,unresolved
8,The Cave Big Bear,6,Big Bear Lake,California,The Cave Big Bear,,,unresolved
9,Gnarlywood,7,Carlsbad,California,Gnarlywood,,,unresolved
10,North Island Credit Union Amphitheatre,8,Chula Vista,California,North Island Credit Union Amphitheatre,,,unresolved
11,Pacific Amphitheater,9,Costa Mesa,California,Pacific Amphitheater,,,unresolved
12,Infinite Loop,10,Cupertino,California,Infinite Loop,,,unresolved
13,Steve Jobs Theater,10,Cupertino,California,Steve Jobs Theater,,,unresolved
14,Cow Palace,11,Daly City,California,Cow Palace,,,unresolved
15,Del Mar Fairgrounds,12,Del Mar,California,Del Mar Fairgrounds,,,unresolved
16,Hollywood Palladium,13,Hollywood,California,Hollywood Palladium,,,unresolved
17,Five Points Amphitheatre,14,Irvine,California,Five Points Amphitheatre,,,unresolved
18,El Rey Theatre,15,Los Angeles,California,El Rey Theatre,,,unresolved
19,Fonda Theatre,15,Los Angeles,California,Fonda Theatre,,,unresolved
20,Hollywood Bowl,15,Los Angeles,California,Hollywood Bowl,,,unresolved
21,Sports Arena,15,Los Angeles,California,Sports Arena,,,unresolved
22,The Theatre at Ace Hotel,15,Los Angeles,California,The Theatre at Ace Hotel,,,unresolved
23,Wiltern Theater,15,Los Angeles,California,Wiltern Theater,,,unresolved
24,Monterey County Fairgrounds,16,Monterey,California,Monterey County Fairgrounds,,,unresolved
